LF,9.94,N/A,N/A,1582765
LM,31.09,N/A,N/A,2112038
LEG,31.24,N/A,N/A,640390
LEN,36.30,N/A,N/A,6722229
LUK,26.31,N/A,N/A,1588069
LVLT,21.17,N/A,N/A,937331
LXP,11.74,N/A,N/A,1685035
LXK,30.87,N/A,N/A,1014762
LBTYA,73.83,74.40,74.14,2784189
LINTA,23.06,23.37,23.26,1308841
LIFE,74.10,74.08,74.02,1757954
LNC,36.80,N/A,N/A,2839732
LLTC,37.05,36.70,36.64,1488298
LNKD,180.01,N/A,N/A,1577552
LINE,33.36,33.52,33.29,1334443
LGF,27.79,N/A,N/A,2053102
LYV,15.53,N/A,N/A,1248290
LKQ,26.39,26.46,26.35,1718837
ERIC,11.41,11.37,11.31,1598365
LMT,108.45,N/A,N/A,1509088
LO,43.67,N/A,N/A,2595627
LPX,14.99,N/A,N/A,2150798
LOW,41.19,N/A,N/A,5928825
LSI,7.18,7.18,7.14,4710472
LULU,65.91,65.80,65.33,2595512
LXFT,20.02,N/A,N/A,47082
LYB,67.00,N/A,N/A,6962197
M,48.25,N/A,N/A,3648097
MAKO,12.11,12.49,12.02,762583
MTW,18.05,N/A,N/A,1350794
MNKD,6.52,6.90,6.71,6960022
MFC,16.14,N/A,N/A,726117
MRO,34.71,N/A,N/A,4231553
MPC,70.83,N/A,N/A,2778017
GDX,24.89,24.86,24.83,32207460
GDXJ,36.96,37.37,37.33,1517266
OIH,43.04,N/A,N/A,3432053
RSX,25.36,25.45,25.08,2603238
SMH,37.73,N/A,N/A,891987
MAR,40.67,N/A,N/A,1602265
MMC,40.07,N/A,N/A,2442964
MRVL,11.89,11.76,11.73,4994541
MAS,19.61,N/A,N/A,4238249
XLB,38.77,38.67,38.46,11203521
MAT,45.46,45.77,45.51,1492837
MXIM,28.00,27.59,27.57,1828362
MBI,13.47,N/A,N/A,2030422
MDR,8.23,N/A,N/A,5966515
MCD,99.26,N/A,N/A,4054069
MHFI,53.57,N/A,N/A,1444227
MCK,115.77,N/A,N/A,1388220
MJN,79.9299,N/A,N/A,979165
MWV,34.11,N/A,N/A,685404
MPW,14.46,N/A,N/A,874008
MDVN,49.87,52.05,49.03,2130572
MDT,52.06,N/A,N/A,4716164
MPEL,22.68,23.00,22.90,3242098
MLNX,49.87,50.50,49.70,384356
MRK,46.22,N/A,N/A,13113129
MTOR,7.15,N/A,N/A,800114
MET,46.14,N/A,N/A,6250553
MFA,8.48,N/A,N/A,3352273
MTG,6.19,N/A,N/A,5409191
MGM,15.04,N/A,N/A,9221834
KORS,62.14,N/A,N/A,3457545
MCHP,37.47,37.32,37.26,1293368
MU,14.43,14.32,14.30,33892148
MSFT,34.73,34.33,34.30,30888880
MM,8.75,N/A,N/A,1128623
MTU,6.35,N/A,N/A,2573967
MBT,19.00,N/A,N/A,1498136
TAP,48.18,N/A,N/A,958721
MCP,6.18,N/A,N/A,5570099
MDLZ,28.765,29.07,28.97,9249266
MON,99.20,N/A,N/A,4309862
MNST,60.84,60.96,60.75,1324482
MCO,61.21,N/A,N/A,2147199
MS,24.65,N/A,N/A,13779944
MOS,54.10,N/A,N/A,4672128
MSI,57.81,N/A,N/A,1227980
MWA,6.91,N/A,N/A,1927221
MUR,61.40,N/A,N/A,1011026
MYL,31.33,30.87,30.77,3255902
MYGN,27.13,27.39,27.19,1047746
