Date,Open,High,Low,Close,Volume,Adj Close
2012-02-14,20.74,20.87,20.53,20.73,655400,13.82
2012-02-13,20.63,20.90,20.55,20.80,587600,13.87
2012-02-10,20.19,20.53,20.11,20.26,389200,13.51
2012-02-09,20.96,20.96,20.25,20.57,619600,13.71
2012-02-08,20.79,20.99,20.50,20.79,591600,13.86
2012-02-07,21.38,21.39,20.10,20.67,880800,13.78
2012-02-06,21.30,21.69,20.96,21.36,675000,14.24
2012-02-03,20.59,21.36,20.50,21.13,1153200,14.09
2012-02-02,19.85,20.12,19.75,20.11,711600,13.41
2012-02-01,19.21,19.87,19.13,19.71,817600,13.14
2012-01-31,19.50,19.50,19.02,19.12,512000,12.75
2012-01-30,19.18,19.49,18.93,19.17,683600,12.78
2012-01-27,19.17,19.44,19.01,19.33,396800,12.89
2012-01-26,19.23,19.70,19.04,19.14,735200,12.76
2012-01-25,18.91,19.09,18.72,19.02,543800,12.68
2012-01-24,18.66,18.96,18.61,18.84,661800,12.56
2012-01-23,18.53,19.30,18.49,18.73,1040200,12.49
2012-01-20,17.37,18.49,17.06,18.40,1213400,12.27
2012-01-19,17.50,17.78,17.13,17.39,488200,11.59
2012-01-18,17.10,17.52,16.95,17.45,458600,11.63
2012-01-17,17.27,17.49,17.00,17.08,421400,11.39
2012-01-13,16.98,17.45,16.90,17.10,422800,11.40
2012-01-12,17.09,17.25,16.80,17.06,782200,11.37
2012-01-11,16.08,17.17,16.08,17.08,907400,11.39
2012-01-10,16.12,16.21,15.96,16.04,1038400,10.69
2012-01-09,16.00,16.31,15.76,15.81,563100,10.54
2012-01-06,16.12,16.50,15.96,16.01,495300,10.67
2012-01-05,15.42,16.35,15.42,16.09,934200,10.73
2012-01-04,15.23,15.52,14.97,15.49,402900,10.33
2012-01-03,14.85,15.64,14.73,15.36,510800,10.24
2011-12-30,14.42,14.57,14.30,14.40,522200,9.60
2011-12-29,14.60,14.74,14.44,14.49,455200,9.66
2011-12-28,15.22,15.22,14.51,14.55,374200,9.70
2011-12-27,14.94,15.41,14.80,15.34,381200,10.23
2011-12-23,14.99,15.05,14.80,14.95,222800,9.97
2011-12-22,14.85,15.28,14.71,14.99,291200,9.99
2011-12-21,14.97,14.97,14.45,14.80,392100,9.87
2011-12-20,14.94,15.22,14.84,15.09,893100,10.06
2011-12-19,14.59,14.89,14.37,14.48,451800,9.65
2011-12-16,14.65,14.99,14.39,14.53,602600,9.69
2011-12-15,14.66,14.86,14.43,14.57,450600,9.71
2011-12-14,15.08,15.08,14.40,14.41,545100,9.61
